accident_index,accident_year,accident_ref_no,vehicle_reference,vehicle_type,vehicle_text
2021010344856,2021,010344856,2,90,electric scooter
2021010344954,2021,010344954,1,90,electric scooter
2021010345143,2021,010345143,2,90,electric scooter
2021010345148,2021,010345148,2,90,electric scooter
2021010345333,2021,010345333,1,90,electric scooter
2021010345371,2021,010345371,1,90,electric scooter
2021010345617,2021,010345617,2,90,electric scooter
2021010345808,2021,010345808,1,90,electric scooter
2021010345889,2021,010345889,2,90,electric scooter
2021010346122,2021,010346122,2,90,electric scooter
2021010346357,2021,010346357,1,90,electric scooter
2021010346377,2021,010346377,2,90,electric scooter
2021010346654,2021,010346654,2,90,electric scooter
2021010346754,2021,010346754,2,90,electric scooter
2021010346832,2021,010346832,2,90,electric scooter
2021010347414,2021,010347414,1,90,electric scooter
2021010347414,2021,010347414,2,90,electric scooter
2021010347831,2021,010347831,2,90,electric scooter
2021010347929,2021,010347929,1,90,electric scooter
2021010348028,2021,010348028,1,90,electric scooter
2021010348394,2021,010348394,1,90,electric scooter
2021010348460,2021,010348460,2,90,electric scooter
2021010348462,2021,010348462,1,90,electric scooter
2021010348659,2021,010348659,1,90,electric scooter
2021010348936,2021,010348936,1,90,electric scooter
2021010349125,2021,010349125,2,90,electric scooter
2021010349136,2021,010349136,2,90,electric scooter
2021010349429,2021,010349429,1,90,electric scooter
2021010349579,2021,010349579,1,90,electric scooter
2021010349788,2021,010349788,1,90,electric scooter
2021010350116,2021,010350116,1,90,electric scooter
2021010350825,2021,010350825,2,90,electric scooter
2021010351519,2021,010351519,2,90,electric scooter
2021010351548,2021,010351548,2,90,electric scooter
2021010351757,2021,010351757,1,90,electric scooter
2021010351764,2021,010351764,2,90,electric scooter
2021010351988,2021,010351988,2,90,electric scooter
2021010352038,2021,010352038,2,90,electric scooter
2021010352066,2021,010352066,2,90,electric scooter
2021010352226,2021,010352226,2,90,electric scooter
2021010352339,2021,010352339,2,90,electric scooter
2021010352414,2021,010352414,1,90,electric scooter
2021031015290,2021,031015290,2,90,electric scooter
2021031080805,2021,031080805,1,90,electric scooter
2021031136662,2021,031136662,1,90,electric scooter
2021041015095,2021,041015095,1,90,electric scooter
2021041020996,2021,041020996,2,90,electric scooter
2021041038664,2021,041038664,1,90,electric scooter
2021041038792,2021,041038792,1,90,electric scooter
2021041042114,2021,041042114,1,90,electric scooter
2021041043717,2021,041043717,1,90,electric scooter
2021041051544,2021,041051544,1,90,electric scooter
2021041052930,2021,041052930,2,90,electric scooter
2021041059071,2021,041059071,1,90,electric scooter
2021041062800,2021,041062800,1,90,electric scooter
2021041073277,2021,041073277,1,90,electric scooter
2021041073454,2021,041073454,2,90,electric scooter
2021041090160,2021,041090160,2,90,electric scooter
2021041100520,2021,041100520,1,90,electric scooter
2021041147290,2021,041147290,2,90,electric scooter
2021041196323,2021,041196323,1,90,electric scooter
2021052100349,2021,052100349,2,90,electric scooter
2021052100452,2021,052100452,2,90,electric scooter
2021052100461,2021,052100461,1,90,electric scooter
2021052100494,2021,052100494,1,90,electric scooter
2021052100648,2021,052100648,1,90,electric scooter
2021052100667,2021,052100667,1,90,electric scooter
2021052100668,2021,052100668,1,90,electric scooter
2021052100719,2021,052100719,1,90,electric scooter
2021052100726,2021,052100726,1,90,electric scooter
2021052100748,2021,052100748,2,90,electric scooter
2021052100766,2021,052100766,2,90,electric scooter
2021052100788,2021,052100788,1,90,electric scooter
2021052100853,2021,052100853,1,90,electric scooter
2021052100862,2021,052100862,1,90,electric scooter
2021052100881,2021,052100881,1,90,electric scooter
2021052100950,2021,052100950,1,90,electric scooter
2021052100958,2021,052100958,1,90,electric scooter
2021052101004,2021,052101004,1,90,electric scooter
2021052101006,2021,052101006,1,90,electric scooter
2021052101009,2021,052101009,2,90,electric scooter
2021052101027,2021,052101027,1,90,electric scooter
2021052101037,2021,052101037,1,90,electric scooter
2021052101085,2021,052101085,1,90,electric scooter
2021052101126,2021,052101126,2,90,electric scooter
2021052101131,2021,052101131,2,90,electric scooter
2021052101153,2021,052101153,1,90,electric scooter
2021052101192,2021,052101192,1,90,electric scooter
2021052101213,2021,052101213,1,90,electric scooter
2021052101220,2021,052101220,1,90,electric scooter
2021052101249,2021,052101249,2,90,electric scooter
2021052101298,2021,052101298,1,90,electric scooter
2021052101339,2021,052101339,1,90,electric scooter
2021052101366,2021,052101366,1,90,electric scooter
2021052101449,2021,052101449,1,90,electric scooter
2021052101503,2021,052101503,1,90,electric scooter
2021052101510,2021,052101510,1,90,electric scooter
2021052101550,2021,052101550,2,90,electric scooter
2021052101555,2021,052101555,1,90,electric scooter
2021052101588,2021,052101588,1,90,electric scooter
2021052101650,2021,052101650,1,90,electric scooter
2021052101713,2021,052101713,1,90,electric scooter
2021052101755,2021,052101755,1,90,electric scooter
2021052101761,2021,052101761,1,90,electric scooter
2021052101875,2021,052101875,2,90,electric scooter
2021052101923,2021,052101923,1,90,electric scooter
2021052101995,2021,052101995,1,90,electric scooter
2021052102020,2021,052102020,2,90,electric scooter
2021052102029,2021,052102029,2,90,electric scooter
2021052102039,2021,052102039,2,90,electric scooter
2021052102094,2021,052102094,2,90,electric scooter
2021052102110,2021,052102110,2,90,electric scooter
2021052102117,2021,052102117,1,90,electric scooter
2021052102230,2021,052102230,1,90,electric scooter
2021052102242,2021,052102242,1,90,electric scooter
2021052102265,2021,052102265,1,90,electric scooter
2021052102277,2021,052102277,2,90,electric scooter
2021052102284,2021,052102284,2,90,electric scooter
